Name,NORAD ID,Int'l Code,Launch date,"Period
[minutes]",Longitude,Action,Longitude,sat_name,sat_operator,long_string,x_coord,y_coord,include
NAHUEL I2 (ANIK C2),14133,1983-059B,"June 18, 1983",1452.8,133.7° W,TRACK IT,-133.7,NAHUEL I2 (ANIK C2),Argentina,133.7° W,0.237,0.308,TRUE
INSAT 2B,22724,1993-048B,"July 22, 1993",1440.5,133.6° W,TRACK IT,-133.6,INSAT 2B,India,133.6° W,0.235,0.308,TRUE
GALAXY 15,28884,2005-041A,"October 13, 2005",1436.1,133° W,TRACK IT,-133,GALAXY 15,Intelsat,133° W,0.225,0.308,TRUE
WESTAR 4,13069,1982-014A,"February 26, 1982",1443.4,132.9° W,TRACK IT,-132.9,WESTAR 4,United States,132.9° W,0.223,0.308,TRUE
EUTE 28A (EB 1),26719,2001-011A,"March 8, 2001",1436.1,132.8° W,TRACK IT,-132.8,EUTE 28A (EB 1),Europe,132.8° W,0.222,0.308,TRUE
RASCOM 1,32387,2007-063A,"December 21, 2007",1453.6,132.4° W,TRACK IT,-132.4,RASCOM 1,RASCOM,132.4° W,0.215,0.308,TRUE
INTELSAT 709,23915,1996-035A,"June 15, 1996",1451.9,131.8° W,TRACK IT,-131.8,INTELSAT 709,Intelsat,131.8° W,0.204,0.309,TRUE
BEIDOU 1,26599,2000-069A,"October 30, 2000",1455.9,131° W,TRACK IT,-131,BEIDOU 1,China,131° W,0.191,0.309,TRUE
EXPRESS 1,23319,1994-067A,"October 13, 1994",1442.6,131° W,TRACK IT,-131,EXPRESS 1,Russia,131° W,0.191,0.309,TRUE
AMC-11 (GE-11),28252,2004-017A,"May 19, 2004",1436.1,131° W,TRACK IT,-131,AMC-11 (GE-11),SES,131° W,0.191,0.309,TRUE
AMC-1 (GE-1),24315,1996-054A,"September 8, 1996",1436.1,130.9° W,TRACK IT,-130.9,AMC-1 (GE-1),SES,130.9° W,0.189,0.309,TRUE
EUTE 21A (EUTE W3),25673,1999-018A,"April 12, 1999",1463,130.8° W,TRACK IT,-130.8,EUTE 21A (EUTE W3),Europe,130.8° W,0.187,0.309,TRUE
SES-15,42709,2017-026A,"May 18, 2017",1436.1,129.1° W,TRACK IT,-129.1,SES-15,SES,129.1° W,0.158,0.309,TRUE
GALAXY 12,27715,2003-013B,"April 9, 2003",1436.1,129° W,TRACK IT,-129,GALAXY 12,Intelsat,129° W,0.156,0.309,TRUE
CIEL-2,33453,2008-063A,"December 10, 2008",1436.1,128.8° W,TRACK IT,-128.8,CIEL-2,Canada,128.8° W,0.153,0.309,TRUE
GOES 15,36411,2010-008A,"March 4, 2010",1436,128.2° W,TRACK IT,-128.2,GOES 15,United States,128.2° W,0.143,0.309,TRUE
