Name,NORAD ID,Int'l Code,Launch date,"Period
[minutes]",Longitude,Action,Longitude,sat_name,sat_operator,long_string,x_coord,y_coord,include
HORIZONS 1 (GALAXY 13),27954,2003-044A,"October 1, 2003",1436.1,127° W,TRACK IT,-127,HORIZONS 1 (GALAXY 13),United States,127° W,0.121869,0.306714,TRUE
EUTELSAT 1-F4 (ECS 4),18351,1987-078B,"September 16, 1987",1459.2,126.2° W,TRACK IT,-126.2,EUTELSAT 1-F4 (ECS 4),Europe,126.2° W,0.107999,0.307210,TRUE
XM-2,26724,2001-012A,"March 18, 2001",1453.4,125.5° W,TRACK IT,-125.5,XM-2,United States,125.5° W,0.095846,0.307594,TRUE
COMSTAR 2,9047,1976-073A,"July 22, 1976",1440.4,125.1° W,TRACK IT,-125.1,COMSTAR 2,United States,125.1° W,0.088894,0.307794,TRUE
GALAXY 14,28790,2005-030A,"August 13, 2005",1436.1,125° W,TRACK IT,-125,GALAXY 14,United States,125° W,0.087156,0.307841,TRUE
AMC-21,33275,2008-038B,"August 14, 2008",1436.1,124.9° W,TRACK IT,-124.9,AMC-21,SES,124.9° W,0.085417,0.307888,TRUE
TELSTAR 11 (ORION 1),23413,1994-079A,"November 29, 1994",1460.7,123.8° W,TRACK IT,-123.8,TELSTAR 11 (ORION 1),United States,123.8° W,0.066274,0.308338,TRUE
ANIK E1,21726,1991-067A,"September 26, 1991",1452,123.3° W,TRACK IT,-123.3,ANIK E1,Canada,123.3° W,0.057564,0.308505,TRUE
SATCOM 4,13035,1982-004A,"January 16, 1982",1446,123.1° W,TRACK IT,-123.1,SATCOM 4,United States,123.1° W,0.054079,0.308565,TRUE
NIMIQ 2,27632,2002-062A,"December 29, 2002",1436.1,123.1° W,TRACK IT,-123.1,NIMIQ 2,Canada,123.1° W,0.054079,0.308565,TRUE
GALAXY 18,32951,2008-024A,"May 21, 2008",1436.1,123° W,TRACK IT,-123,GALAXY 18,United States,123° W,0.052336,0.308593,TRUE
NSTAR B,23781,1996-007A,"February 5, 1996",1450.8,122.6° W,TRACK IT,-122.6,NSTAR B,Japan,122.6° W,0.045363,0.308699,TRUE
OPS 7484,11397,1979-053A,"June 10, 1979",1458.4,122.3° W,TRACK IT,-122.3,OPS 7484,United States,122.3° W,0.040132,0.308768,TRUE
GALAXY 23 (TELSTAR 13),27854,2003-034A,"August 8, 2003",1436.1,121° W,TRACK IT,-121,GALAXY 23 (TELSTAR 13),United States,121° W,0.017452,0.308970,TRUE
USA 169,27711,2003-012A,"April 8, 2003",1436.1,120.2° W,TRACK IT,-120.2,USA 169,United States,120.2° W,0.003491,0.309015,TRUE
EUTELSAT W2,25491,1998-056A,"October 5, 1998",1450.7,119.6° W,TRACK IT,-119.6,EUTELSAT W2,Europe,119.6° W,-0.006981,0.309009,TRUE
DIRECTV 7S,28238,2004-016A,"May 4, 2004",1436.1,119° W,TRACK IT,-119,DIRECTV 7S,United States,119° W,-0.017452,0.308970,TRUE
ECHOSTAR 14,36499,2010-010A,"March 20, 2010",1436.1,118.9° W,TRACK IT,-118.9,ECHOSTAR 14,United States,118.9° W,-0.019197,0.308960,TRUE
ECHOSTAR 7,27378,2002-006A,"February 21, 2002",1436.2,118.8° W,TRACK IT,-118.8,ECHOSTAR 7,United States,118.8° W,-0.020942,0.308949,TRUE
LEASAT 1,15384,1984-113C,"November 8, 1984",1461.3,118.7° W,TRACK IT,-118.7,LEASAT 1,United States,118.7° W,-0.022687,0.308937,TRUE
ANIK F3,31102,2007-009A,"April 9, 2007",1436.1,118.7° W,TRACK IT,-118.7,ANIK F3,Canada,118.7° W,-0.022687,0.308937,TRUE
XM-1,26761,2001-018A,"May 8, 2001",1454.5,118.6° W,TRACK IT,-118.6,XM-1,United States,118.6° W,-0.024432,0.308925,TRUE
DIRECTV 1R,25937,1999-056A,"October 10, 1999",1455.2,118.4° W,TRACK IT,-118.4,DIRECTV 1R,United States,118.4° W,-0.027922,0.308897,TRUE
INTELSAT 602,20315,1989-087A,"October 27, 1989",1454.5,118.1° W,TRACK IT,-118.1,INTELSAT 602,Intelsat,118.1° W,-0.033155,0.308847,TRUE
OPS 9454,10941,1978-058A,"June 10, 1978",1438.7,117.6° W,TRACK IT,-117.6,OPS 9454,United States,117.6° W,-0.041876,0.308746,TRUE
INTELSAT 8 (PAS 8),25522,1998-065A,"November 4, 1998",1512.8,117.6° W,TRACK IT,-117.6,INTELSAT 8 (PAS 8),United States,117.6° W,-0.041876,0.308746,TRUE
ECHOSTAR 2,24313,1996-055A,"September 11, 1996",1437.2,117.3° W,TRACK IT,-117.3,ECHOSTAR 2,United States,117.3° W,-0.047106,0.308674,TRUE
EUTELSAT 117W B,41589,2016-038B,"June 15, 2016",1436.1,117° W,TRACK IT,-117,EUTELSAT 117W B,Europe,117° W,-0.052336,0.308593,TRUE
ORION 3,25727,1999-024A,"May 5, 1999",138.6,116.9° W,TRACK IT,-116.9,ORION 3,United States,116.9° W,-0.054079,0.308565,TRUE
SATMEX 8,39122,2013-012A,"March 26, 2013",1436.1,116.8° W,TRACK IT,-116.8,SATMEX 8,Europe,116.8° W,-0.055822,0.308535,TRUE
INMARSAT 2-F4,21940,1992-021B,"April 15, 1992",1470.3,116.2° W,TRACK IT,-116.2,INMARSAT 2-F4,Inmarsat,116.2° W,-0.066274,0.308338,TRUE
